strategy,max_accuracy
FedAdam,0.48623853211009177
FedAvg,0.8248847926267281
FedAvgM,0.6972477064220184
FedCM,0.5682758620689655
FedProx,0.7880184331797235
FedTrimmedAvg,0.5871559633027523
FedYogi,0.3586206896551724
